avg_reward,avg_episode,avg_step,avg_time,flops_per_step,flops_per_episode,total_flops,reward_per_flops
-289.838,-1,-1,-1,9728,-9728,9728,-0.03

Episode,Score,Average Reward,Convergence Episode,Convergence Step,Convergence Time
287,-424.3067411238579,-235.53645314237653,-1,-1,-1
288,-381.4027991469078,-235.05297789329555,-1,-1,-1
289,-414.39164413956104,-236.2764748987176,-1,-1,-1
290,-387.77179369767475,-236.9803556474937,-1,-1,-1
291,-495.25842103098256,-240.0184383789785,-1,-1,-1
292,-274.32081572511095,-239.39056720875206,-1,-1,-1
293,-484.440791857657,-238.8709221699202,-1,-1,-1
294,-295.0766385733467,-235.8181516390324,-1,-1,-1
295,-335.2301110235023,-237.0025204771074,-1,-1,-1
296,-1172.42441926954,-243.01717133338025,-1,-1,-1
297,-939.9697670252679,-247.23878465081455,-1,-1,-1
298,-926.7201308788759,-254.56369403684167,-1,-1,-1
299,-552.5714786429158,-257.67139971770905,-1,-1,-1
300,-424.33669527053377,-260.1000200373195,-1,-1,-1
301,-422.97604104561236,-261.4273760754128,-1,-1,-1
302,-107.8289121966103,-261.10773788760395,-1,-1,-1
303,-386.90188475736886,-263.8092883611634,-1,-1,-1
304,-33.00438444750711,-262.77186954706946,-1,-1,-1
305,-197.7966644124954,-260.935115502285,-1,-1,-1
306,-379.1216055795685,-260.2985557382281,-1,-1,-1
307,-408.51547045098334,-261.82043354676796,-1,-1,-1
308,-358.4014943567911,-261.52878081175476,-1,-1,-1
309,-141.97960888886126,-259.5164948330598,-1,-1,-1
310,-335.2592758708062,-259.3374030534629,-1,-1,-1
311,-282.03626531306156,-261.45734371566766,-1,-1,-1
312,-470.0120091032012,-264.7999166027232,-1,-1,-1
313,-316.84446175937006,-266.8110484910065,-1,-1,-1
314,-132.50821983342547,-265.67331551594845,-1,-1,-1
315,-260.23029771327094,-263.4486898764518,-1,-1,-1
316,-74.34139620171777,-262.71970990632644,-1,-1,-1
317,-197.06702711726237,-263.28606443562626,-1,-1,-1
318,-350.5720278944784,-262.1980636230009,-1,-1,-1
319,-369.47355415656585,-261.6074735164209,-1,-1,-1
320,-689.3879441763045,-262.50759476901317,-1,-1,-1
321,-100.1631746975013,-260.14923253885377,-1,-1,-1
322,-115.63987829835584,-258.4843870429733,-1,-1,-1
323,-482.5880542860718,-262.59152876835253,-1,-1,-1
324,-131.32555790141978,-261.27214175085555,-1,-1,-1
325,-6.884268099774033,-261.6491811885221,-1,-1,-1
326,-524.2896078494884,-265.98479084243604,-1,-1,-1
327,-312.6092704602722,-265.84605955585704,-1,-1,-1
328,-236.53885544151566,-263.1517700440238,-1,-1,-1
329,-222.62347355413544,-262.0908347390163,-1,-1,-1
330,-518.9888896668297,-266.13143403731806,-1,-1,-1
331,-52.30271327752567,-263.553725037379,-1,-1,-1
332,-184.96568878162117,-264.69618056635807,-1,-1,-1
333,-624.6320565011953,-267.80850483722645,-1,-1,-1
334,-288.71375061056915,-269.5968257119622,-1,-1,-1
335,-697.365106560849,-273.50840723677317,-1,-1,-1
336,-20.828982060007036,-272.09061899643535,-1,-1,-1
337,-31.457844284950937,-272.3607018148566,-1,-1,-1
338,-247.25282465106278,-271.87987999758576,-1,-1,-1
339,-353.0374019733665,-275.10842260033036,-1,-1,-1
340,-302.3622040941884,-278.6906396453856,-1,-1,-1
341,-199.05251814429602,-280.485504346504,-1,-1,-1
342,-210.96059022610763,-282.84622510222243,-1,-1,-1
343,164.01595635157415,-280.63229809396097,-1,-1,-1
344,-301.7079329336257,-280.9897121621048,-1,-1,-1
345,-48.63338225961884,-279.0607670296919,-1,-1,-1
346,-221.70922185778267,-281.2264293872632,-1,-1,-1
347,-268.55971656470604,-283.9654733043769,-1,-1,-1
348,-220.31691845666685,-284.54863488079116,-1,-1,-1
349,-45.603497555696045,-282.278701354381,-1,-1,-1
350,184.74093623465671,-280.04660030812124,-1,-1,-1
351,-266.07491403819387,-281.33987556253476,-1,-1,-1
352,-236.33625845671946,-281.01922368794055,-1,-1,-1
353,-67.83508736246398,-279.3273851885872,-1,-1,-1
354,-353.5726750125498,-280.52376217978644,-1,-1,-1
355,-142.18823422141986,-277.0573741145707,-1,-1,-1
356,-220.3209335752424,-274.070095666006,-1,-1,-1
357,-399.24451658087617,-277.41815381321686,-1,-1,-1
358,-97.71548424682022,-276.462122758511,-1,-1,-1
359,187.7114293913853,-269.12790847705344,-1,-1,-1
360,-136.5631370609148,-267.09458102342154,-1,-1,-1
361,-392.15785296613876,-271.2739177165672,-1,-1,-1
362,-230.06839712274186,-270.8769291613565,-1,-1,-1
363,-258.6425850589188,-274.67190946151726,-1,-1,-1
364,-88.63734202989642,-273.3803292674578,-1,-1,-1
365,-149.2056311274109,-272.9725423125587,-1,-1,-1
366,-35.81118326113476,-268.5509852088408,-1,-1,-1
367,-460.5823151791744,-271.14659830404304,-1,-1,-1
368,-454.3143102335666,-274.6358523704388,-1,-1,-1
369,-247.70980143770737,-277.4246363397932,-1,-1,-1
370,-189.38346157549734,-276.349035106437,-1,-1,-1
371,-263.3110664376354,-276.2707620010075,-1,-1,-1
372,-48.13232976669496,-271.3673060071534,-1,-1,-1
373,-273.5577420809377,-271.49303344934657,-1,-1,-1
374,-334.480684891664,-271.42038872551984,-1,-1,-1
375,-193.64599363734877,-270.6446962616694,-1,-1,-1
376,-127.07512879847056,-271.3216646537468,-1,-1,-1
377,-297.04460536980423,-274.1148687703641,-1,-1,-1
378,-75.66868259618084,-273.6481604029883,-1,-1,-1
379,154.36734700362777,-274.25778860935606,-1,-1,-1
380,16.209236627821056,-273.5540641631507,-1,-1,-1
381,-336.2800260466633,-274.15660770912257,-1,-1,-1
382,-202.20664886166946,-274.1322195461687,-1,-1,-1
383,-200.04389238731557,-272.86430084814543,-1,-1,-1
384,-291.3514476752553,-272.7172102942036,-1,-1,-1
385,-201.73714627433972,-273.2475164097969,-1,-1,-1
386,-294.9849490507588,-272.52433732543267,-1,-1,-1
387,-247.07207871386987,-270.7519907013328,-1,-1,-1
388,-45.451540735933975,-267.39247811722305,-1,-1,-1
389,-396.52559446967183,-267.2138176205242,-1,-1,-1
390,-781.2202171828752,-271.14830185537613,-1,-1,-1
391,-273.85460363684103,-268.9342636814347,-1,-1,-1
392,-643.9710453140435,-272.630765977324,-1,-1,-1
393,-442.22315805037726,-272.20858963925116,-1,-1,-1
394,-401.9904732603525,-273.2777279861213,-1,-1,-1
395,-190.38247628194236,-271.82925163870567,-1,-1,-1
396,-248.83012453263368,-262.5933086913367,-1,-1,-1
397,-212.72962885414324,-255.32090730962543,-1,-1,-1
398,-262.878256472168,-248.68248856555834,-1,-1,-1
399,-214.11580653971419,-245.29793184452632,-1,-1,-1
400,-245.54662524266288,-243.51003114424762,-1,-1,-1
401,-404.99370394588595,-243.33020777325038,-1,-1,-1
402,-377.4892637893749,-246.02681128917803,-1,-1,-1
403,-287.82785951911376,-245.03607103679548,-1,-1,-1
404,-208.86003864589014,-246.79462757877928,-1,-1,-1
405,-289.3253443449638,-247.709914378104,-1,-1,-1
406,-180.82614382923992,-245.72695976060066,-1,-1,-1
407,-661.6066396664736,-248.25787145275552,-1,-1,-1
408,-633.0210844164975,-251.0040673533526,-1,-1,-1
409,-421.58534700689773,-253.80012473453297,-1,-1,-1
